,Duellist w/ NoSkills,Duellist w/ T1Warrior,Duellist w/ T1Warrior/T2Warrior,Duellist w/ T1Warrior/T2Warrior/T3Warrior,Duellist w/ T1Warrior/T1Brute/T2Warrior/T3Warrior,Duellist w/ T1Warrior/T1Brute/T2Warrior/T2Brute/T3Warrior
Duellist w/ NoSkills,"['5.396% Chance of Death', '5.406% Chance of Critical Injury']","['5.632% Chance of Death', '5.731% Chance of Critical Injury']","['5.557% Chance of Death', '5.55% Chance of Critical Injury']","['5.306% Chance of Death', '5.464% Chance of Critical Injury']","['4.855% Chance of Death', '4.726% Chance of Critical Injury']","['4.022% Chance of Death', '3.972% Chance of Critical Injury']"
Duellist w/ T1Warrior,"['5.077% Chance of Death', '5.195% Chance of Critical Injury']","['5.361% Chance of Death', '5.422% Chance of Critical Injury']","['5.817% Chance of Death', '5.664% Chance of Critical Injury']","['5.571% Chance of Death', '5.489% Chance of Critical Injury']","['5.02% Chance of Death', '4.921% Chance of Critical Injury']","['4.033% Chance of Death', '4.195% Chance of Critical Injury']"
Duellist w/ T1Warrior/T2Warrior,"['4.758% Chance of Death', '4.753% Chance of Critical Injury']","['5.181% Chance of Death', '5.144% Chance of Critical Injury']","['5.338% Chance of Death', '5.463% Chance of Critical Injury']","['5.513% Chance of Death', '5.49% Chance of Critical Injury']","['5.105% Chance of Death', '5.108% Chance of Critical Injury']","['4.196% Chance of Death', '4.284% Chance of Critical Injury']"
Duellist w/ T1Warrior/T2Warrior/T3Warrior,"['3.986% Chance of Death', '3.942% Chance of Critical Injury']","['4.405% Chance of Death', '4.355% Chance of Critical Injury']","['4.75% Chance of Death', '4.794% Chance of Critical Injury']","['5.393% Chance of Death', '5.579% Chance of Critical Injury']","['5.049% Chance of Death', '5.065% Chance of Critical Injury']","['4.38% Chance of Death', '4.267% Chance of Critical Injury']"
Duellist w/ T1Warrior/T1Brute/T2Warrior/T3Warrior,"['3.597% Chance of Death', '3.718% Chance of Critical Injury']","['4.029% Chance of Death', '3.967% Chance of Critical Injury']","['4.271% Chance of Death', '4.301% Chance of Critical Injury']","['5.022% Chance of Death', '5.073% Chance of Critical Injury']","['4.631% Chance of Death', '4.747% Chance of Critical Injury']","['4.21% Chance of Death', '4.063% Chance of Critical Injury']"
Duellist w/ T1Warrior/T1Brute/T2Warrior/T2Brute/T3Warrior,"['2.952% Chance of Death', '2.989% Chance of Critical Injury']","['3.36% Chance of Death', '3.224% Chance of Critical Injury']","['3.708% Chance of Death', '3.682% Chance of Critical Injury']","['4.395% Chance of Death', '4.321% Chance of Critical Injury']","['4.21% Chance of Death', '4.204% Chance of Critical Injury']","['3.733% Chance of Death', '3.788% Chance of Critical Injury']"
