,Maximum Siege Duration,Average Siege Duration,Minimum Siege Duration,Average Besiegers Casualties,Average Defenders Casualties
Outer Walls DV 1.5,7,3.1,1,0.0%,20.08%
Outer Walls DV 2,8,3.4,2,0.53%,22.38%
Outer Walls DV 3,9,3.7,2,0.55%,23.17%
Outer Walls DV 4,11,4.0,2,0.73%,24.12%
