,33 CV Left // 34 CV Centre // 33 CV Right,66 CV Left // 68 CV Centre // 66 CV Right,100 CV Left // 100 CV Centre // 100 CV Right,133 CV Left // 134 CV Centre // 133 CV Right,166 CV Left // 168 CV Centre // 166 CV Right,200 CV Left // 200 CV Centre // 200 CV Right,233 CV Left // 234 CV Centre // 233 CV Right
33 CV Left // 34 CV Centre // 33 CV Right,28% Left Casualties // 22% Centre Casualties // 24% Right Casualties,33% Left Casualties // 31% Centre Casualties // 31% Right Casualties,26% Left Casualties // 27% Centre Casualties // 35% Right Casualties,29% Left Casualties // 26% Centre Casualties // 33% Right Casualties,30% Left Casualties // 28% Centre Casualties // 30% Right Casualties,30% Left Casualties // 30% Centre Casualties // 30% Right Casualties,32% Left Casualties // 34% Centre Casualties // 24% Right Casualties
66 CV Left // 68 CV Centre // 66 CV Right,22% Left Casualties // 19% Centre Casualties // 18% Right Casualties,25% Left Casualties // 24% Centre Casualties // 32% Right Casualties,31% Left Casualties // 28% Centre Casualties // 29% Right Casualties,27% Left Casualties // 29% Centre Casualties // 33% Right Casualties,33% Left Casualties // 34% Centre Casualties // 33% Right Casualties,29% Left Casualties // 26% Centre Casualties // 32% Right Casualties,33% Left Casualties // 32% Centre Casualties // 33% Right Casualties
100 CV Left // 100 CV Centre // 100 CV Right,15% Left Casualties // 16% Centre Casualties // 14% Right Casualties,23% Left Casualties // 14% Centre Casualties // 22% Right Casualties,22% Left Casualties // 24% Centre Casualties // 24% Right Casualties,28% Left Casualties // 24% Centre Casualties // 29% Right Casualties,29% Left Casualties // 28% Centre Casualties // 27% Right Casualties,31% Left Casualties // 27% Centre Casualties // 30% Right Casualties,37% Left Casualties // 35% Centre Casualties // 34% Right Casualties
133 CV Left // 134 CV Centre // 133 CV Right,17% Left Casualties // 16% Centre Casualties // 16% Right Casualties,19% Left Casualties // 17% Centre Casualties // 24% Right Casualties,27% Left Casualties // 32% Centre Casualties // 28% Right Casualties,32% Left Casualties // 27% Centre Casualties // 31% Right Casualties,30% Left Casualties // 25% Centre Casualties // 29% Right Casualties,25% Left Casualties // 26% Centre Casualties // 26% Right Casualties,32% Left Casualties // 23% Centre Casualties // 31% Right Casualties
166 CV Left // 168 CV Centre // 166 CV Right,12% Left Casualties // 15% Centre Casualties // 9% Right Casualties,27% Left Casualties // 19% Centre Casualties // 20% Right Casualties,20% Left Casualties // 17% Centre Casualties // 15% Right Casualties,28% Left Casualties // 20% Centre Casualties // 26% Right Casualties,26% Left Casualties // 24% Centre Casualties // 24% Right Casualties,26% Left Casualties // 28% Centre Casualties // 29% Right Casualties,24% Left Casualties // 20% Centre Casualties // 23% Right Casualties
200 CV Left // 200 CV Centre // 200 CV Right,22% Left Casualties // 18% Centre Casualties // 14% Right Casualties,19% Left Casualties // 18% Centre Casualties // 12% Right Casualties,27% Left Casualties // 21% Centre Casualties // 23% Right Casualties,28% Left Casualties // 30% Centre Casualties // 22% Right Casualties,27% Left Casualties // 19% Centre Casualties // 24% Right Casualties,30% Left Casualties // 24% Centre Casualties // 20% Right Casualties,25% Left Casualties // 26% Centre Casualties // 29% Right Casualties
233 CV Left // 234 CV Centre // 233 CV Right,10% Left Casualties // 6% Centre Casualties // 17% Right Casualties,18% Left Casualties // 11% Centre Casualties // 16% Right Casualties,23% Left Casualties // 20% Centre Casualties // 19% Right Casualties,17% Left Casualties // 21% Centre Casualties // 23% Right Casualties,20% Left Casualties // 20% Centre Casualties // 18% Right Casualties,20% Left Casualties // 24% Centre Casualties // 28% Right Casualties,27% Left Casualties // 24% Centre Casualties // 28% Right Casualties
