,Duellist w/ None,Duellist w/ FO,Duellist w/ MW,Duellist w/ MW/FO,Duellist w/ VS
Duellist w/ None,"['0.11 Average Deaths', '0.12 Average Critical Injuries', '0.17 Average Major Injuries', '0.17 Average Minor Injuries']","['0.1 Average Deaths', '0.11 Average Critical Injuries', '0.16 Average Major Injuries', '0.16 Average Minor Injuries']","['0.11 Average Deaths', '0.11 Average Critical Injuries', '0.17 Average Major Injuries', '0.16 Average Minor Injuries']","['0.1 Average Deaths', '0.1 Average Critical Injuries', '0.15 Average Major Injuries', '0.15 Average Minor Injuries']","['0.09 Average Deaths', '0.09 Average Critical Injuries', '0.14 Average Major Injuries', '0.14 Average Minor Injuries']"
Duellist w/ FO,"['0.11 Average Deaths', '0.11 Average Critical Injuries', '0.16 Average Major Injuries', '0.17 Average Minor Injuries']","['0.1 Average Deaths', '0.1 Average Critical Injuries', '0.16 Average Major Injuries', '0.15 Average Minor Injuries']","['0.1 Average Deaths', '0.1 Average Critical Injuries', '0.16 Average Major Injuries', '0.15 Average Minor Injuries']","['0.09 Average Deaths', '0.1 Average Critical Injuries', '0.15 Average Major Injuries', '0.14 Average Minor Injuries']","['0.09 Average Deaths', '0.09 Average Critical Injuries', '0.14 Average Major Injuries', '0.14 Average Minor Injuries']"
Duellist w/ MW,"['0.11 Average Deaths', '0.11 Average Critical Injuries', '0.16 Average Major Injuries', '0.16 Average Minor Injuries']","['0.1 Average Deaths', '0.1 Average Critical Injuries', '0.15 Average Major Injuries', '0.14 Average Minor Injuries']","['0.1 Average Deaths', '0.1 Average Critical Injuries', '0.15 Average Major Injuries', '0.16 Average Minor Injuries']","['0.09 Average Deaths', '0.1 Average Critical Injuries', '0.14 Average Major Injuries', '0.14 Average Minor Injuries']","['0.09 Average Deaths', '0.09 Average Critical Injuries', '0.14 Average Major Injuries', '0.14 Average Minor Injuries']"
Duellist w/ MW/FO,"['0.1 Average Deaths', '0.1 Average Critical Injuries', '0.15 Average Major Injuries', '0.14 Average Minor Injuries']","['0.09 Average Deaths', '0.1 Average Critical Injuries', '0.13 Average Major Injuries', '0.14 Average Minor Injuries']","['0.09 Average Deaths', '0.09 Average Critical Injuries', '0.15 Average Major Injuries', '0.15 Average Minor Injuries']","['0.09 Average Deaths', '0.09 Average Critical Injuries', '0.14 Average Major Injuries', '0.13 Average Minor Injuries']","['0.09 Average Deaths', '0.08 Average Critical Injuries', '0.13 Average Major Injuries', '0.13 Average Minor Injuries']"
Duellist w/ VS,"['0.1 Average Deaths', '0.1 Average Critical Injuries', '0.14 Average Major Injuries', '0.14 Average Minor Injuries']","['0.09 Average Deaths', '0.09 Average Critical Injuries', '0.13 Average Major Injuries', '0.14 Average Minor Injuries']","['0.1 Average Deaths', '0.09 Average Critical Injuries', '0.14 Average Major Injuries', '0.13 Average Minor Injuries']","['0.09 Average Deaths', '0.09 Average Critical Injuries', '0.13 Average Major Injuries', '0.13 Average Minor Injuries']","['0.08 Average Deaths', '0.08 Average Critical Injuries', '0.12 Average Major Injuries', '0.13 Average Minor Injuries']"
