,Duellist w/ None,Duellist w/ FO,Duellist w/ MW,Duellist w/ MW/FO,Duellist w/ VS
Duellist w/ None,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries
Duellist w/ FO,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries
Duellist w/ MW,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries
Duellist w/ MW/FO,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries
Duellist w/ VS,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries,0.1 Average Critical Injuries
