,Duellist w/ None,Duellist w/ FO,Duellist w/ MW,Duellist w/ MW/FO,Duellist w/ VS
Duellist w/ None,0.5 Average Major Injuries,0.5 Average Major Injuries,0.5 Average Major Injuries,0.5 Average Major Injuries,0.4 Average Major Injuries
Duellist w/ FO,0.4 Average Major Injuries,0.4 Average Major Injuries,0.4 Average Major Injuries,0.4 Average Major Injuries,0.4 Average Major Injuries
Duellist w/ MW,0.4 Average Major Injuries,0.4 Average Major Injuries,0.4 Average Major Injuries,0.4 Average Major Injuries,0.4 Average Major Injuries
Duellist w/ MW/FO,0.4 Average Major Injuries,0.4 Average Major Injuries,0.4 Average Major Injuries,0.4 Average Major Injuries,0.4 Average Major Injuries
Duellist w/ VS,0.4 Average Major Injuries,0.4 Average Major Injuries,0.4 Average Major Injuries,0.4 Average Major Injuries,0.4 Average Major Injuries
