,Duellist w/ None,Duellist w/ FO,Duellist w/ MW,Duellist w/ MW/FO,Duellist w/ VS
Duellist w/ None,0.5 Average Minor Injuries,0.5 Average Minor Injuries,0.5 Average Minor Injuries,0.5 Average Minor Injuries,0.5 Average Minor Injuries
Duellist w/ FO,0.5 Average Minor Injuries,0.5 Average Minor Injuries,0.5 Average Minor Injuries,0.5 Average Minor Injuries,0.5 Average Minor Injuries
Duellist w/ MW,0.5 Average Minor Injuries,0.5 Average Minor Injuries,0.5 Average Minor Injuries,0.5 Average Minor Injuries,0.4 Average Minor Injuries
Duellist w/ MW/FO,0.4 Average Minor Injuries,0.4 Average Minor Injuries,0.4 Average Minor Injuries,0.4 Average Minor Injuries,0.4 Average Minor Injuries
Duellist w/ VS,0.4 Average Minor Injuries,0.4 Average Minor Injuries,0.4 Average Minor Injuries,0.4 Average Minor Injuries,0.4 Average Minor Injuries
