,100 CV,200 CV,300 CV,400 CV,500 CV,600 CV
100 CV,50.17% Winrate,30.43% Winrate,15.15% Winrate,6.11% Winrate,1.99% Winrate,0.54% Winrate
200 CV,69.78% Winrate,69.62% Winrate,58.2% Winrate,49.95% Winrate,37.82% Winrate,30.4% Winrate
300 CV,84.84% Winrate,62.48% Winrate,62.08% Winrate,54.33% Winrate,45.95% Winrate,41.88% Winrate
400 CV,93.94% Winrate,69.55% Winrate,58.02% Winrate,58.05% Winrate,50.06% Winrate,45.93% Winrate
500 CV,98.03% Winrate,79.4% Winrate,66.0% Winrate,58.23% Winrate,58.0% Winrate,54.1% Winrate
600 CV,99.49% Winrate,84.73% Winrate,69.69% Winrate,62.27% Winrate,54.22% Winrate,54.08% Winrate
