,100 CV,200 CV,300 CV,400 CV,500 CV,600 CV
100 CV,24% Casualties,25% Casualties,24% Casualties,23% Casualties,21% Casualties,19% Casualties
200 CV,22% Casualties,22% Casualties,24% Casualties,24% Casualties,25% Casualties,25% Casualties
300 CV,19% Casualties,23% Casualties,23% Casualties,24% Casualties,25% Casualties,25% Casualties
400 CV,16% Casualties,22% Casualties,24% Casualties,24% Casualties,24% Casualties,25% Casualties
500 CV,14% Casualties,21% Casualties,23% Casualties,24% Casualties,24% Casualties,24% Casualties
600 CV,11% Casualties,19% Casualties,22% Casualties,23% Casualties,24% Casualties,24% Casualties
